,aggregate_1,aggregate_2,aggregate_3,aggregate_4,aggregate_5,aggregate_6,aggregate_7,aggregate_8,aggregate_9,aggregate_10,aggregate_11,aggregate_12,hvac_1,hvac_2,hvac_3,hvac_4,hvac_5,hvac_6,hvac_7,hvac_8,hvac_9,hvac_10,hvac_11,hvac_12,fridge_1,fridge_2,fridge_3,fridge_4,fridge_5,fridge_6,fridge_7,fridge_8,fridge_9,fridge_10,fridge_11,fridge_12,wm_1,wm_2,wm_3,wm_4,wm_5,wm_6,wm_7,wm_8,wm_9,wm_10,wm_11,wm_12,furnace_1,furnace_2,furnace_3,furnace_4,furnace_5,furnace_6,furnace_7,furnace_8,furnace_9,furnace_10,furnace_11,furnace_12,dw_1,dw_2,dw_3,dw_4,dw_5,dw_6,dw_7,dw_8,dw_9,dw_10,dw_11,dw_12,dr_1,dr_2,dr_3,dr_4,dr_5,dr_6,dr_7,dr_8,dr_9,dr_10,dr_11,dr_12,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,area,num_rooms,total_occupants
1334,307.864196777,226.051452637,314.047149658,318.607727051,263.513244629,312.818054199,302.7059021,248.782485962,353.104278564,234.46206665,267.034667969,341.524810791,0.150518000126,0.208215996623,0.293675005436,0.202572003007,0.337806999683,45.3923797607,31.1945419312,34.9656181335,50.4660644531,1.15987598896,0.267392992973,0.133976995945,0.0,9.10968780518,78.6190338135,74.0763626099,84.6804504395,92.7899932861,93.8330688477,81.223487854,98.4845199585,76.6226577759,66.2749404907,63.8493499756,,,,,,,,,,,,,44.075340271,15.774266243,14.4584150314,9.55449295044,5.03851127625,11.631280899,9.35671520233,10.3899068832,12.674197197,4.17647504807,30.0854110718,58.6019248962,10.3512487411,7.27569389343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,92.5518035889,75.1142807007,23.8981933594,30.4929676056,34.3237838745,32.1045837402,26.9129390717,13.8376941681,37.0992202759,26.6428260803,26.9595870972,42.2314529419,1100.0,5.0,2.0
1642,447.488830566,435.971252441,638.865783691,648.414001465,1053.77172852,1505.7545166,1471.12402344,1679.45300293,1362.66589355,792.400024414,550.07611084,561.972839355,0.0093160001561,2.10980200768,9.69365501404,28.2485256195,185.528671265,502.067932129,479.907287598,660.282043457,476.429626465,164.873565674,20.4462242126,0.0522750020027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8479919434,140.850708008,91.2167510986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34577894211,3.60537695885,3.60743403435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.9614181519,27.1470451355,30.620059967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44951200485,8.44362831116,6.98382091522,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1720.0,11.0,3.0
1697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.2657928467,74.6036987305,83.2356719971,81.7125244141,84.6380004883,83.9434356689,90.0494766235,91.0496520996,86.6773376465,90.3555603027,84.8903503418,86.3963851929,5.1664018631,3.79030299187,4.00698518753,4.4798913002,3.658162117,3.77989912033,3.60864114761,4.31692886353,4.46875619888,6.07573223114,6.79746723175,5.94862318039,49.3860206604,28.6515789032,50.6842956543,74.0777740479,133.400405884,229.364440918,215.392105103,231.859313965,193.544464111,130.805358887,58.470905304,66.7077941895,33.423614502,17.6497573853,18.98072052,22.0223274231,20.2964878082,19.0662479401,31.3007583618,31.8992595673,35.1496429443,46.4929084778,27.1513462067,25.5665206909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2085.0,8.0,4.0
1800,662.039367676,486.96685791,569.320556641,532.184753418,883.029785156,1339.4128418,1440.19189453,1448.35351562,1135.55712891,605.393188477,583.178222656,567.587097168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2075.0,9.0,1.0
1953,402.578887939,331.53503418,306.748504639,333.473693848,430.561859131,1132.59179688,1136.46057129,1221.66577148,803.799316406,408.559020996,372.789123535,545.382446289,0.0274379998446,0.0501670017838,6.87408590317,17.772310257,112.348464966,638.533630371,605.422668457,676.193481445,383.175201416,84.6336212158,0.919955015182,0.0723860040307,36.9502830505,34.3917312622,35.7624740601,39.2497711182,43.9984321594,43.9596214294,42.242313385,43.2982521057,40.9855041504,38.7649803162,36.7725982666,31.8921031952,,,,,,,,,,,,,53.1855049133,24.0921287537,16.8091754913,9.35115623474,21.9849777222,105.367614746,106.555427551,112.351097107,68.4581680298,18.8011169434,31.2757511139,58.8925552368,,,,,,,,,,,,,,,,,,,,,,,,,50.9759292603,48.4096946716,54.5570793152,51.0727767944,51.2056007385,52.8695259094,54.1688690186,53.93516922,52.5987319946,23.4549350739,0.0,0.0,1600.0,8.0,2.0
2129,871.519287109,666.277038574,808.880493164,839.51361084,1122.2824707,1703.04968262,1764.66821289,1909.83325195,1568.9675293,1140.80090332,803.306335449,963.048400879,10.0756454468,1.26281106472,48.0916404724,122.545265198,344.335083008,789.619018555,835.208251953,945.836486816,662.707763672,297.439880371,34.3376731873,1.76626598835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9759292603,48.4096946716,54.5570793152,51.0727767944,51.2056007385,52.8695259094,54.1688690186,53.93516922,52.5987319946,23.4549350739,0.0,0.0,2042.0,7.0,2.0
2156,795.117431641,634.237365723,935.371032715,725.307800293,1024.51611328,1295.90161133,1197.41638184,1359.27832031,1082.65197754,691.846862793,745.731262207,781.938415527,115.853134155,49.8971939087,124.183456421,112.408203125,307.734283447,608.746459961,511.780853271,665.231506348,486.904693604,191.167175293,126.263694763,161.198120117,51.3593139648,46.5068855286,56.1611824036,50.8596496582,58.9830665588,53.0432472229,56.8595275879,47.1590881348,56.1574440002,53.7640800476,46.7429275513,42.9643554688,3.44907903671,3.7561841011,3.91544008255,1.9641970396,2.35645508766,7.61834621429,5.4866309166,4.13351583481,2.81572699547,3.36880517006,7.47085428238,7.96745824814,21.8727779388,12.8046379089,25.7702503204,21.3524246216,54.9088287354,111.893882751,92.8871841431,113.548904419,87.8409729004,40.0437393188,26.2660541534,34.1796913147,4.20160102844,2.96566700935,6.01087713242,3.43770599365,3.56007194519,2.42251706123,4.51191902161,5.49037122726,4.51511526108,3.99423503876,17.0694446564,18.6382389069,62.3892860413,50.3668518066,71.4038085938,55.9898910522,67.5565185547,53.7850761414,57.3982048035,60.4951972961,27.9401798248,28.778875351,46.4872817993,52.6774940491,50.9759292603,48.4096946716,54.5570793152,51.0727767944,51.2056007385,52.8695259094,54.1688690186,53.93516922,52.5987319946,23.4549350739,0.0,0.0,1780.0,7.0,2.0
2233,438.608520508,362.535614014,421.741729736,418.921569824,698.391357422,1246.45349121,1380.23535156,1525.32666016,1107.61730957,718.846618652,512.21282959,591.98248291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,50.9759292603,48.4096946716,54.5570793152,51.0727767944,51.2056007385,52.8695259094,54.1688690186,53.93516922,52.5987319946,23.4549350739,0.0,0.0,3300.0,4.0,4.0
2242,1318.31213379,871.900939941,1128.7857666,1160.09301758,1763.82568359,2764.42260742,2802.57885742,2910.15722656,2171.86694336,1285.9708252,1138.13378906,1521.56994629,40.6926116943,27.7079429626,88.5623474121,186.422790527,562.33001709,1240.62097168,1210.21789551,1327.65234375,820.608886719,288.066375732,54.3898353577,29.7387123108,55.5041503906,45.5639801025,58.2892951965,55.6985969543,59.7869110107,68.854675293,64.876914978,61.8659591675,57.4886627197,50.9190139771,53.0642089844,61.8703460693,6.51113605499,4.63503313065,5.44193792343,5.6935210228,7.78261709213,6.97494697571,7.10356903076,6.27811717987,5.10263490677,5.99552631378,5.66999292374,6.66044712067,126.014045715,74.8442382812,70.265625,78.0513839722,205.79234314,428.720092773,437.366638184,470.095306396,335.813842773,118.281517029,97.5451507568,174.336853027,25.6090717316,16.8995475769,23.3759689331,16.5584430695,19.6548728943,24.6726112366,19.8811435699,19.9336051941,17.827287674,13.8194875717,23.0442485809,30.8052921295,117.31640625,80.6011352539,89.759765625,92.4361953735,96.1019515991,102.475135803,107.564849854,93.3067474365,63.8372116089,66.5952606201,80.2725601196,104.380340576,50.9759292603,48.4096946716,54.5570793152,51.0727767944,51.2056007385,52.8695259094,54.1688690186,53.93516922,52.5987319946,23.4549350739,0.0,0.0,3500.0,4.0,2.0
2470,423.367523193,347.877044678,329.892974854,319.045318604,425.697631836,775.455200195,690.19128418,876.720458984,660.190002441,476.443359375,467.7734375,485.974853516,0.01640499942,0.0163540001959,0.0128180002794,0.0,61.4230766296,266.210693359,269.035766602,342.723815918,200.276092529,88.2752380371,19.6470355988,3.51213216782,38.7429847717,37.7437400818,43.6224441528,45.1294746399,49.8737182617,53.5342254639,53.736492157,55.3870201111,52.2227935791,50.289264679,40.7620048523,37.9647254944,8.40750312805,4.87882995605,4.16545915604,0.255493015051,1.85592401028,2.75258898735,0.861220002174,1.46917402744,2.75774002075,2.53893303871,2.81411194801,4.42494726181,68.9044342041,44.3236236572,34.8590774536,20.6573467255,29.4253349304,90.947807312,91.9209747314,111.960044861,71.7401046753,40.4012985229,42.2231559753,76.7087249756,0.0128350006416,0.0184450000525,0.0176630001515,0.018819000572,0.0121889999136,0.0155720002949,0.0175950005651,0.0221510007977,0.0121039999649,0.0228819996119,0.0199069995433,0.0166260004044,53.6152458191,44.4609336853,28.0213890076,0.177752003074,0.165359005332,0.104685999453,0.0801720023155,0.106164999306,0.154513001442,0.154751002789,0.213656008244,0.256190001965,54.4539604187,54.2918128967,53.8013458252,45.0641975403,60.610168457,66.6440124512,55.881362915,59.3368186951,48.2343559265,59.2536697388,52.26014328,65.1731872559,1550.0,3.0,
2814,682.811157227,636.390319824,851.087219238,899.704101562,1337.49414062,1933.54248047,1828.03637695,1906.61437988,1476.73779297,980.306762695,844.051696777,957.903381348,0.313428997993,0.187459006906,5.05629301071,31.0749130249,280.611938477,779.891052246,860.258850098,1093.28112793,765.385437012,225.71786499,10.5314493179,3.46663999557,45.0502891541,39.0084571838,48.9465370178,48.5462875366,52.4236831665,55.1562614441,55.2050361633,57.6921882629,55.7981491089,56.7450332642,49.6276245117,45.4544143677,4.51015090942,4.63175201416,6.41379404068,4.45804595947,4.95680904388,4.25865316391,4.52454996109,3.9060561657,3.73306417465,4.2421631813,4.60681295395,4.31298494339,54.3378143311,25.6934947968,21.2663536072,19.6369037628,71.9215087891,167.781738281,179.914260864,207.719177246,154.825790405,94.7071380615,72.9960632324,64.9277801514,13.4602432251,10.4031505585,18.6556816101,11.8376102448,11.8645210266,11.6768074036,9.64705848694,9.59998512268,11.0182781219,13.7561626434,14.5134439468,14.5307331085,111.565803528,105.407325745,130.795059204,89.1694717407,96.6159820557,76.5362625122,89.3150405884,77.5775985718,72.0115280151,76.25340271,81.3926544189,85.5817718506,54.4539604187,54.2918128967,53.8013458252,45.0641975403,60.610168457,66.6440124512,55.881362915,59.3368186951,48.2343559265,59.2536697388,52.26014328,65.1731872559,1860.0,7.0,2.0
2829,580.558166504,539.25378418,553.614501953,583.910644531,793.628173828,845.642944336,1054.70166016,1074.71374512,699.540100098,485.463287354,383.936645508,403.776580811,0.375138998032,4.00603294373,16.2033462524,34.5143852234,208.404052734,464.489501953,556.631469727,645.952026367,334.938568115,66.9558258057,4.7199139595,0.000679999997374,71.436958313,69.7590560913,78.041885376,78.4300460815,84.4472427368,86.5137863159,91.4363555908,87.4721908569,82.2385864258,79.1691741943,65.5933074951,55.6785202026,,,,,,,,,,,,,77.022567749,52.3434944153,53.9823951721,49.4020347595,52.5004043579,52.5939559937,73.098739624,79.2204589844,54.0663070679,37.9092025757,53.0650749207,71.0281295776,15.5853796005,14.1449518204,13.922252655,13.6916646957,7.63102817535,5.38114595413,9.45177936554,5.99362230301,3.89728403091,5.91622114182,3.32912707329,4.70031309128,,,,,,,,,,,,,5.43304729462,3.99129414558,4.07578420639,4.85734224319,8.41952228546,1.31722807884,3.90131306648,6.16695404053,3.79882001877,3.58611607552,4.79457807541,3.08507514,,,2.0
2925,440.091583252,420.640594482,431.874664307,613.906005859,1136.62792969,1718.15649414,1818.07580566,1787.03076172,1537.72827148,1081.0168457,646.070739746,676.430236816,0.375138998032,4.00603294373,16.2033462524,34.5143852234,208.404052734,464.489501953,556.631469727,645.952026367,334.938568115,66.9558258057,4.7199139595,0.000679999997374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43304729462,3.99129414558,4.07578420639,4.85734224319,8.41952228546,1.31722807884,3.90131306648,6.16695404053,3.79882001877,3.58611607552,4.79457807541,3.08507514,2330.0,3.0,4.0
